dataset,rep,term,beta_ij,vertex_gap_fitted,predicts_interior_optimum
bnp,5,lr*knn,0.08676459673027667,0.05227460413438145,True
bnp,5,lr*rf,0.010387346661743124,0.008760180346509272,True
bnp,5,lr*xgb,0.03292272926844397,0.012906919494583335,True
bnp,5,gnb*knn,0.07451960576461003,0.040069613855900466,True
bnp,5,gnb*rf,0.12898445927315372,0.10110439833679119,True
bnp,5,gnb*xgb,0.1383775662644282,0.10525113748486525,True
bnp,5,knn*rf,0.06329931550836676,0.061034784480890725,True
bnp,5,knn*xgb,0.11436526898283589,0.06518152362896479,True
bnp,5,rf*xgb,0.01926281530196361,0.004146739148074063,True
bnp,6,lr*gnb,0.15519969850922555,0.10462464836614938,True
bnp,6,lr*knn,0.08675189910893533,0.05176536993564029,True
bnp,6,lr*rf,0.01111613056304761,0.008603065646057617,True
bnp,6,lr*xgb,0.03371615318093424,0.0132239391637895,True
bnp,6,gnb*knn,0.0945907474094132,0.05285927843050908,True
bnp,6,gnb*rf,0.15976763577380504,0.11322771401220699,True
bnp,6,gnb*xgb,0.17216525820001483,0.11784858752993888,True
bnp,6,knn*rf,0.06168340310749132,0.06036843558169791,True
bnp,6,knn*xgb,0.11361572463397104,0.06498930909942979,True
bnp,6,rf*xgb,0.019165958323144494,0.004620873517731883,True
bnp,7,lr*gnb,0.1624482747161738,0.1078138597522954,True
bnp,7,lr*knn,0.08678893466100832,0.051511527386180145,True
bnp,7,lr*rf,0.010163972001511534,0.008455816989333176,True
bnp,7,lr*xgb,0.032580708911372325,0.012120576545136208,True
bnp,7,gnb*knn,0.10185485308570041,0.05630233236611526,True
bnp,7,gnb*rf,0.16858475513402293,0.11626967674162858,True
bnp,7,gnb*xgb,0.17970816321218508,0.11993443629743161,True
bnp,7,knn*rf,0.06115602656678831,0.05996734437551332,True
bnp,7,knn*xgb,0.11307503011536148,0.06363210393131635,True
bnp,7,rf*xgb,0.01889720839151865,0.003664759555803032,True
bnp,8,lr*gnb,0.15969561463592297,0.10707390810762107,True
bnp,8,lr*knn,0.08465091487647722,0.05148985634735315,True
bnp,8,lr*rf,0.009507903761376224,0.008634347588108437,True
bnp,8,lr*xgb,0.030858673253428393,0.010743757766634388,True
bnp,8,gnb*knn,0.09950842358659373,0.05558405176026793,True
bnp,8,gnb*rf,0.16617601017988282,0.11570825569572951,True
bnp,8,gnb*xgb,0.17536220559956306,0.11781766587425546,True
