dataset,role,replication,entity,method_key,gate_quality,gate_cost,gate_both,core_n_points,core_n_front,aug_n_points,self_grading_share,core__hv_ratio,core__igd_plus,core__gd,core__spacing,core__spacing_cv,core__joint_nondominated_fraction,core__n_front,augmented__hv_ratio,augmented__igd_plus,augmented__gd,augmented__spacing,augmented__spacing_cv,augmented__joint_nondominated_fraction,augmented__n_front
bank_marketing,primary_geometry_confirmatory,3,GRID,grid,False,True,False,288,6,1262,0.1026,1.0225209767241126,0.0,0.011035507249863392,0.19916892177478954,0.7537922192400076,1.0,6,0.9071582716055233,0.02590314875455215,0.004889156779072885,0.19543870795212606,0.7559930174267481,0.6666666666666666,6
bank_marketing,primary_geometry_confirmatory,3,RANDOM,random,False,True,False,288,6,1262,0.0256,0.36793394766553117,0.2727151536965219,0.3145255500952275,0.13072354478228526,1.5416104080069837,0.1111111111111111,9,0.32335059718413245,0.40455913972579827,0.2847789031400452,0.12756416796397146,1.5385873679730302,0.1111111111111111,9
bank_marketing,primary_geometry_confirmatory,3,NSGA2-MATCHED,nsga2,False,True,False,288,6,1262,0.2051,0.4957493283848354,0.23021008932279044,0.16993895333629794,0.0231622542366754,0.9389683222557789,0.36,25,0.4325782126949493,0.37718877553525204,0.1403705421135507,0.02272756530338219,0.9395523240670745,0.32,25
bank_marketing,primary_geometry_confirmatory,4,HISTORICAL-WS-asrun,historical_ws_asrun,False,True,False,288,7,1244,0.1818,0.8635289332338159,0.17947970097043126,0.3256027994215838,0.11220134163679624,0.7792460050598339,0.5,6,0.2647325799182352,0.32311535873569774,0.1613047608049102,0.07128880416616595,0.6832208601731733,0.3333333333333333,6
bank_marketing,primary_geometry_confirmatory,4,HISTORICAL-WS,historical_ws,False,True,False,288,7,1244,0.0909,1.1995516372751478,0.20765699136686983,0.9353575493523327,0.7604132814216575,0.7498791651364676,0.3333333333333333,3,0.2463900636458165,0.330428662432121,0.3684243419960751,0.3241038512119926,0.5286675065860794,0.3333333333333333,3
bank_marketing,primary_geometry_confirmatory,4,WS-S,ws_s,False,True,False,288,7,1244,0.0,1.199339450578796,0.20768259167450173,0.9353458448345916,0.7604042245065668,0.749874945546522,0.3333333333333333,3,0.2462586468473956,0.33046677615984155,0.3684427467234763,0.32410178767881953,0.5286653324309515,0.0,3
bank_marketing,primary_geometry_confirmatory,4,NBI-S,nbi_s,False,True,False,288,7,1244,0.0,0.9939204249133741,0.2037691716109938,0.4484716347068992,0.2388491826801071,0.991072669875003,0.2222222222222222,9,0.22772981648696788,0.277269390380025,0.28579681345056207,0.15396253103645147,0.9647764789312211,0.0,9
bank_marketing,primary_geometry_confirmatory,4,NBI-R,nbi_r,False,True,False,288,7,1244,0.0,0.1497586552288364,0.5179607788631415,0.4622538965964675,0.04806476481477531,1.2234324624233999,0.0,13,0.11778390550054546,0.4807090842026248,0.32386455945397574,0.025065437344415204,0.9141888790760057,0.0,13
bank_marketing,primary_geometry_confirmatory,4,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,7,1244,,0.9939204249133741,0.17710354223398247,0.3048523078963291,0.27922959677777115,0.9379776040260106,0.2857142857142857,7,0.2713331589385671,0.19498074196308812,0.21295247013484847,0.2266934997829416,1.0614758976614511,0.0,7
bank_marketing,primary_geometry_confirmatory,4,GRID,grid,False,True,False,288,7,1244,0.4545,1.1190114098520805,0.0,0.07597568127072236,0.10876095290666841,0.6548826472517417,1.0,8,0.8582440496497287,0.053099251645617844,0.06318529071015959,0.060059111415237613,0.5034966330283328,0.625,8
bank_marketing,primary_geometry_confirmatory,4,RANDOM,random,False,True,False,288,7,1244,0.0,0.3605110799735267,0.28422119846742605,0.25502996944511025,0.10338992565733987,0.7469819302664056,0.0,8,0.4655246531094452,0.22324796340774752,0.17401751974231922,0.06689000089148504,0.6277013682356165,0.0,8
bank_marketing,primary_geometry_confirmatory,4,NSGA2-MATCHED,nsga2,False,True,False,288,7,1244,0.0,0.05081426448419568,0.42200545924783045,0.3586838662900495,0.06194488338286969,1.562254989402488,0.2777777777777778,18,0.3998141531242376,0.2743941297059928,0.21012329240907304,0.04216860707054792,1.43458358068543,0.0,18
bank_marketing,primary_geometry_confirmatory,5,HISTORICAL-WS-asrun,historical_ws_asrun,False,True,False,288,5,1255,0.0,0.41119802078054535,0.3050744813435194,0.16264673812715869,0.04728131835545066,1.433784424039734,0.1,10,0.3329802867746821,0.32474985882301305,0.18586711103738834,0.048596093939271695,1.446311825553374,0.0,10
bank_marketing,primary_geometry_confirmatory,5,HISTORICAL-WS,historical_ws,False,True,False,288,5,1255,0.0417,0.37358875893389426,0.19131009346892214,0.22004949625336587,0.11230078739012059,0.6103062886687446,0.5,4,0.3340260969267654,0.2377892028393084,0.2449603967439679,0.10299911196412094,0.5909288275103076,0.25,4
bank_marketing,primary_geometry_confirmatory,5,WS-S,ws_s,False,True,False,288,5,1255,0.0417,0.3716307030070212,0.25099954594900215,0.3504873846173818,0.12112581736675349,1.2503418593742823,0.2,5,0.33213515507860947,0.27938484320816737,0.3689705560678446,0.12473242363456861,1.2783093222654445,0.2,5
bank_marketing,primary_geometry_confirmatory,5,NBI-S,nbi_s,False,True,False,288,5,1255,0.0833,0.556250441169271,0.17157988308359906,0.21589699901641843,0.08764570282734253,0.83446044036854,0.5,10,0.4454938293639846,0.21739172058359912,0.21885603120892716,0.08411250530485243,0.8135815537201163,0.2,10
bank_marketing,primary_geometry_confirmatory,5,NBI-R,nbi_r,False,True,False,288,5,1255,0.0,0.24383580482196396,0.5985963420983845,0.2609304577902022,0.012644544961709622,0.28460079333234134,0.0,4,0.16161880125030365,0.6327969214511897,0.2819665055254535,0.01522772594647662,0.3439102874770309,0.0,4
bank_marketing,primary_geometry_confirmatory,5,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,5,1255,,0.9310748587989545,0.046555218401300925,0.07473706241622995,0.14969342604368996,0.9278478130875923,0.7142857142857143,7,0.7310166197818506,0.07701020941869126,0.07237461909741325,0.15624808094627723,0.9424318787916033,0.2857142857142857,7
bank_marketing,primary_geometry_confirmatory,5,GRID,grid,False,True,False,288,5,1255,0.25,1.0635296734055137,0.0,0.04192460755991566,0.07089717973053833,0.7223660892645424,1.0,8,0.8215379614757111,0.03138000456025415,0.0443426295785045,0.07012584122188466,0.7127630166232132,0.75,8
bank_marketing,primary_geometry_confirmatory,5,RANDOM,random,False,True,False,288,5,1255,0.0417,0.6429378878714317,0.2503174369664431,0.19219204635283482,0.08674055100461422,0.5047501326105069,0.16666666666666666,6,0.44284385714620883,0.28678890338631974,0.15761419410894992,0.0846384551921283,0.515936010037349,0.16666666666666666,6
bank_marketing,primary_geometry_confirmatory,5,NSGA2-MATCHED,nsga2,False,True,False,288,5,1255,0.4167,1.224628884458176,0.02921212700166669,0.1295186419894655,0.142282853054233,1.5322272864921078,0.9090909090909091,11,0.9649168395390672,0.02122009274393304,0.0044686717922020796,0.1466899897074356,1.5924941351120592,0.9090909090909091,11
