subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,0.05,0.05,0.3,18.0,5.0,50,0.7832069811835287,0.7854793734084321,0.18049933430405332,0.9829506736697876,0.8336233960734265,0.4491934537887573,69.4,0.031033383402973413
1.0,0.05,0.05,0.3,18.0,5.0,700,0.8581788627662339,0.7785053249731206,0.6018976144394369,0.9431106949836339,0.9155328944050811,0.305924528837204,924.8,0.25721297520212827
0.05,1.0,0.05,0.3,18.0,5.0,700,0.8520449980567266,0.7539018868134708,0.6030642794897763,0.9345585293445993,0.907505684145054,0.31981088519096373,835.4,0.27229064200073483
1.0,1.0,0.05,0.3,18.0,5.0,50,0.8569769877756281,0.7766260984073827,0.5975677506681205,0.9429454974499505,0.9126162998804601,0.3123340368270874,318.6,0.0516441582236439
0.05,0.05,1.0,0.3,18.0,5.0,700,0.853495551943381,0.7555719178621867,0.6085596999727072,0.9346690416381213,0.9085260884232582,0.31705517172813413,841.8,0.27297021676786243
1.0,0.05,1.0,0.3,18.0,5.0,50,0.8582617299644199,0.7942651147040088,0.5814191169034124,0.9500085864352592,0.9119928915748426,0.323819637298584,257.0,0.048293741419911385
0.05,1.0,1.0,0.3,18.0,5.0,50,0.8476518856195607,0.7253586474777662,0.6247039003825154,0.9215358605465479,0.9031443985930551,0.3289463222026825,264.8,0.05527510840911418
1.0,1.0,1.0,0.3,18.0,5.0,700,0.8650171673727585,0.7715067988973177,0.6510179398476865,0.9359378244652508,0.9221785613335174,0.2942948639392853,1309.8,0.2597250832011923
0.05,0.525,0.525,0.155,10.5,2.525,375,0.8508432433128842,0.7362386969386476,0.625205977824913,0.9256186496155895,0.9089588391731042,0.3177413046360016,1973.0,0.33329139999113977
1.0,0.525,0.525,0.155,10.5,2.525,375,0.8680426017105102,0.7846436436431545,0.648019329427363,0.940958970845703,0.9239222026450269,0.2907976806163788,1858.2,0.19400541700888424
0.525,0.05,0.525,0.155,10.5,2.525,375,0.8567697167115087,0.7793408676374496,0.592573714915884,0.9443246860013701,0.9132643326446612,0.31311674118041993,793.4,0.19749344140291214
0.525,1.0,0.525,0.155,10.5,2.525,375,0.8642711822189393,0.7622974403850808,0.661340036935388,0.9315236659815787,0.9203870992052622,0.29674659967422484,3471.8,0.3576888417592272
0.525,0.525,0.05,0.155,10.5,2.525,375,0.8551119003497891,0.7691629605203557,0.5977358025272894,0.9404071249143641,0.9122976868451051,0.31364054679870607,833.0,0.20267209999728947
0.525,0.525,1.0,0.155,10.5,2.525,375,0.8655146625897288,0.7683037289064295,0.6585067075274209,0.9341171348100785,0.9228650086227759,0.29264159202575685,3476.2,0.3546289163874462
0.525,0.525,0.525,0.01,10.5,2.525,375,0.8630277705605861,0.7878403505428685,0.6158838793517882,0.9449318565882623,0.9200443294039694,0.30584791898727415,13069.4,0.7161115495953709
