subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
1.0,1.0,0.05,0.3,3.0,5.0,700,0.9022140221402214,0.6648385583935039,0.4586835769696779,0.9664836000277658,0.9374944065122284,0.2065851181745529,840.6,0.21559102518949658
0.05,0.05,1.0,0.3,3.0,5.0,50,0.888888888888889,0.6865082112270217,0.2244884685790415,0.9851664347345122,0.8961236251077883,0.2644260168075562,73.6,0.026562366797588766
1.0,0.05,1.0,0.3,3.0,5.0,700,0.9043870438704387,0.6887070853076709,0.4463784991581564,0.9707554156984463,0.9385260975737714,0.20524117052555085,866.4,0.21612658319063485
0.05,1.0,1.0,0.3,3.0,5.0,700,0.88519885198852,0.5503560639659822,0.5069718284002874,0.9400085500879799,0.9014635706273222,0.34374796152114867,3461.4,0.48506948340218514
1.0,1.0,1.0,0.3,3.0,5.0,50,0.9058220582205821,0.6626456235912462,0.522506858009053,0.9613671436425799,0.9409269349955387,0.19755173921585084,179.4,0.030164774786680938
0.05,0.05,0.05,0.01,18.0,5.0,700,0.8739647396473966,0.8777777777777779,0.0048575160107630095,0.9999061143045396,0.883792803993046,0.31016655564308165,1007.6,0.268611533427611
1.0,0.05,0.05,0.01,18.0,5.0,50,0.8734317343173432,0.0,0.0,1.0,0.7801812369090518,0.37174800634384153,117.0,0.02961927477736026
0.05,1.0,0.05,0.01,18.0,5.0,50,0.8734317343173432,0.0,0.0,1.0,0.8759312159299588,0.35780776143074033,104.4,0.030755125172436237
1.0,1.0,0.05,0.01,18.0,5.0,700,0.8908159081590817,0.7151877377240025,0.22804309399799633,0.9868563111438717,0.9169095279444047,0.25340935587882996,2786.6,0.42607549999374894
0.05,0.05,1.0,0.01,18.0,5.0,50,0.8734317343173432,0.0,0.0,1.0,0.8453899957249666,0.36053630113601687,116.8,0.032854166626930234
1.0,0.05,1.0,0.01,18.0,5.0,700,0.8883968839688399,0.7750008868324658,0.16649829795492335,0.9930056534151321,0.8929998392100054,0.2777873933315277,2551.6,0.4048461580183357
0.05,1.0,1.0,0.01,18.0,5.0,700,0.9042640426404264,0.6514725122801284,0.5241192113420717,0.9593484634632483,0.9377524976276213,0.20375272631645203,3292.6,0.548366908216849
1.0,1.0,1.0,0.01,18.0,5.0,50,0.8734317343173432,0.0,0.0,1.0,0.9398021394832898,0.26986185312271116,3233.2,0.1092391915852204
0.05,0.05,0.05,0.3,18.0,5.0,50,0.8795407954079539,0.6694698989399708,0.10236817673994114,0.9921608364101531,0.7775721596167255,0.3167786240577698,63.4,0.025366758392192424
