subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,0.05,1.0,0.3,18.0,5.0,700,0.9222826086956522,0.923933431393506,0.8758620689655172,0.9524663677130045,0.970255914643575,0.2124551236629486,749.8,0.1708513582125306
1.0,0.05,1.0,0.3,18.0,5.0,50,0.9296195652173914,0.9397421859211409,0.8779310344827586,0.9632286995515695,0.971551724137931,0.21561437845230103,172.4,0.027077691769227384
0.05,1.0,1.0,0.3,18.0,5.0,50,0.9241847826086955,0.9201144612487118,0.8848275862068965,0.9497757847533634,0.9731212308643883,0.2015652537345886,98.4,0.02171385798137635
1.0,1.0,1.0,0.3,18.0,5.0,700,0.9461956521739129,0.9434264680681885,0.9193103448275861,0.963677130044843,0.9861040668006803,0.1447003185749054,938.4,0.17454195017926394
0.05,0.525,0.525,0.155,10.5,2.525,375,0.9391304347826086,0.9378780091209169,0.9068965517241379,0.9600896860986549,0.9783593629194371,0.17809729278087616,703.0,0.13479364197701216
1.0,0.525,0.525,0.155,10.5,2.525,375,0.9516304347826088,0.9457376917736315,0.9310344827586207,0.9650224215246637,0.9879039740219577,0.13405131697654724,1043.0,0.1328470750246197
0.525,0.05,0.525,0.155,10.5,2.525,375,0.9486413043478261,0.9535103020877462,0.9144827586206897,0.9708520179372198,0.9830825730632442,0.16461458802223206,712.0,0.13355459976010026
0.525,1.0,0.525,0.155,10.5,2.525,375,0.9521739130434781,0.9494178619648229,0.9282758620689655,0.9677130044843049,0.9870179372197307,0.13391095399856567,1152.4,0.17263383341487498
0.525,0.525,0.05,0.155,10.5,2.525,375,0.944836956521739,0.9486557145020622,0.9096551724137931,0.967713004484305,0.9835634761094788,0.15935984551906585,771.4,0.13830911659169942
0.525,0.525,1.0,0.155,10.5,2.525,375,0.9535326086956522,0.9490617280691334,0.9324137931034482,0.9672645739910315,0.987185712076697,0.13324708491563797,1146.8,0.16982030803337694
0.525,0.525,0.525,0.01,10.5,2.525,375,0.945108695652174,0.9501485005039646,0.9089655172413792,0.9686098654708519,0.9851739601051491,0.16498295962810516,6001.8,0.5276097417576239
