subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,1.0,1.0,0.3,18.0,0.05,700,0.8180858202816139,0.7387451321615297,0.7471028037383178,0.8565773710029676,0.8764117711077791,1.2585600852966308,10899.6,0.9090256998082623
1.0,1.0,1.0,0.3,18.0,0.05,50,0.8748685831595575,0.8660804471097496,0.7620560747663552,0.9360431170343713,0.9319952494103936,0.3574077546596527,13049.8,0.19492911659181117
0.05,0.05,0.05,0.01,3.0,5.0,50,0.6493165417452779,0.8,0.0026168224299065418,1.0,0.8491960763406,0.6136327505111694,150.0,0.028252799971960486
1.0,0.05,0.05,0.01,3.0,5.0,700,0.7944264275131352,0.9249173502382859,0.45214953271028036,0.9800325159665617,0.8856248619590138,0.4502039611339569,3609.2,0.39887211662717165
0.05,1.0,0.05,0.01,3.0,5.0,700,0.8335960302678688,0.9268150742707144,0.5719626168224299,0.975471140025604,0.9019701783525654,0.4208917737007141,1866.4,0.30391281680203974
1.0,1.0,0.05,0.01,3.0,5.0,50,0.7030757132869518,0.988125478446111,0.15738317757009346,0.9989863666077662,0.8734763103082803,0.5846166014671326,342.8,0.03190642478875816
0.05,0.05,1.0,0.01,3.0,5.0,700,0.7870002586665159,0.9344930462243182,0.42392523364485973,0.9838839531240131,0.8824256712174785,0.46129120588302613,1637.4,0.3021199999842793
1.0,0.05,1.0,0.01,3.0,5.0,50,0.6578601153937668,0.9928571428571429,0.027102803738317756,0.9998986315255955,0.8569084371106637,0.6108951807022095,288.4,0.03277144180610776
0.05,1.0,1.0,0.01,3.0,5.0,50,0.7791143845788118,0.9475352562481341,0.39364485981308417,0.9881407101236499,0.8835300931233412,0.525015366077423,320.0,0.03501916658133268
1.0,1.0,1.0,0.01,3.0,5.0,700,0.866850590506723,0.8903848393505326,0.7085981308411214,0.9526651846534087,0.9195568265064725,0.33461715579032897,5243.4,0.42086916682310405
0.05,0.05,0.05,0.3,3.0,5.0,700,0.8445711771226525,0.8149675037035674,0.7220560747663551,0.9110071579288993,0.89427355048152,0.3798649191856384,1068.8,0.23070475021377207
1.0,0.05,0.05,0.3,3.0,5.0,50,0.8435858261113267,0.876196734386744,0.6467289719626168,0.9503350962409961,0.8983684185221719,0.3912025332450867,240.8,0.030163782951422035
0.05,1.0,0.05,0.3,3.0,5.0,50,0.8429286231557056,0.8471511102148513,0.6753271028037383,0.9338130105974732,0.8984473898323329,0.3782662868499756,115.8,0.023847841983661057
1.0,1.0,0.05,0.3,3.0,5.0,700,0.8661935171002749,0.8713760897169628,0.7267289719626169,0.941820452501886,0.9204386131407836,0.3291051387786865,998.6,0.18003739984706044
0.05,0.05,1.0,0.3,3.0,5.0,50,0.8238699317664505,0.8429728974200209,0.6136448598130841,0.9378678009254623,0.8846241787735639,0.4126287639141083,109.0,0.024219925003126263
1.0,0.05,1.0,0.3,3.0,5.0,700,0.8541010734012661,0.8455429947547313,0.7160747663551402,0.9289483508622739,0.9052423933366619,0.3591213643550873,1034.0,0.1913261581910774
0.05,1.0,1.0,0.3,3.0,5.0,700,0.8287985005115033,0.7622094295487758,0.745981308411215,0.8737073080302421,0.8834504855306508,0.6566372036933898,3938.2,0.42965919179841877
1.0,1.0,1.0,0.3,3.0,5.0,50,0.870925257468186,0.8844759020606912,0.7280373831775702,0.9484083763019611,0.9247813319197858,0.317219603061676,284.8,0.028659800207242368
